Base,Runtime
2,14.7504219
4,7.367369600000002
8,5.173166500000001
16,4.684794799999999
32,4.707653400000005
64,4.7050585
128,4.6726256000000035
256,4.6128608
512,4.705613
1024,4.682228800000004
